"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"chrome","26","301","327577600","21819392","20410368","28936","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","0.796875","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","4",,"False",,"4744","Microsoft.Win32.SafeHandles.SafeProcessHandle","301","14980",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28936","28936","20410368","20410368","368256","368256","22044672","22044672","29716480","29716480","330199040","330199040","True","Idle","20410368","20410368","00:00:00.3437500","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:44:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7968750","00:00:00.4531250","327577600","327577600","False",,,,"21819392","21819392",,
"chrome","26","179","192446464","8585216","3452928","16360","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","0.234375","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","8",,"False",,"4324","Microsoft.Win32.SafeHandles.SafeProcessHandle","179","16388",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16360","16360","3452928","3452928","175856","175856","4190208","4190208","10551296","10551296","193757184","193757184","True","Normal","3452928","3452928","00:00:00.1718750","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:11:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","00:00:00.0625000","192446464","192446464","False",,,,"8585216","8585216",,
"chrome","26","297","344408064","26218496","30945280","31384","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","5.1875","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","8",,"False",,"4040","Microsoft.Win32.SafeHandles.SafeProcessHandle","297","18960",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","31384","31384","30945280","30945280","351848","351848","33734656","33734656","40517632","40517632","346505216","346505216","True","Normal","30945280","30945280","00:00:00.7968750","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:11:56 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.1875000","00:00:04.3906250","344408064","344408064","False",,,,"26218496","26218496",,
"chrome","26","321","362352640","32247808","35872768","34104","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","3.625","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","4",,"False",,"4836","Microsoft.Win32.SafeHandles.SafeProcessHandle","321","19448",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","34104","34104","35872768","35872768","381264","381264","38731776","38731776","54468608","54468608","369172480","369172480","True","Idle","35872768","35872768","00:00:00.9062500","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:44:36 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.6250000","00:00:02.7187500","362352640","362352640","False",,,,"32247808","32247808",,
"chrome","26","400","457994240","44351488","45490176","37096","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","6.296875","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","4",,"False",,"4784","Microsoft.Win32.SafeHandles.SafeProcessHandle","400","19548",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","37096","37096","45490176","45490176","513152","513152","46972928","46972928","64991232","64991232","457994240","457994240","True","Idle","45490176","45490176","00:00:02.3750000","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:54:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.2968750","00:00:03.9218750","457994240","457994240","False",,,,"44351488","44351488",,
"chrome","26","333","361857024","36765696","32870400","33152","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","2.078125","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","4",,"False",,"2216","Microsoft.Win32.SafeHandles.SafeProcessHandle","333","20404",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33152","33152","32870400","32870400","382984","382984","43134976","43134976","60563456","60563456","385458176","385458176","True","Idle","32870400","32870400","00:00:00.6406250","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 12:20:13 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.0781250","00:00:01.4375000","361857024","361857024","False",,,,"36765696","36765696",,
"chrome","26","292","306847744","17883136","14802944","26352","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","2.671875","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","8",,"False",,"3116","Microsoft.Win32.SafeHandles.SafeProcessHandle","292","21352",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26352","26352","14802944","14802944","363480","363480","15519744","15519744","24174592","24174592","310779904","310779904","True","Normal","14802944","14802944","00:00:00.4375000","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:38:31 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.6718750","00:00:02.2343750","306847744","306847744","False",,,,"17883136","17883136",,
"chrome","26","296","311713792","17657856","14409728","26896","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","0.5625","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","8",,"False",,"3952","Microsoft.Win32.SafeHandles.SafeProcessHandle","296","21448",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26896","26896","14409728","14409728","368232","368232","15241216","15241216","22077440","22077440","317415424","317415424","True","Normal","14409728","14409728","00:00:00.3750000","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 12:20:13 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5625000","00:00:00.1875000","311713792","311713792","False",,,,"17657856","17657856",,
"chrome","26","1811","540094464","81539072","71962624","83624","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","257.6875","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","8",,"False",,"3764","Microsoft.Win32.SafeHandles.SafeProcessHandle","1811","21980",".","197608","New Tab - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","83624","83624","71962624","71962624","712952","712952","96743424","96743424","141897728","141897728","584187904","584187904","True","Normal","71962624","71962624","00:01:09.2968750","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:11:53 AM",,"System.Diagnostics.ProcessThreadCollection","00:04:17.6875000","00:03:08.3906250","540094464","540094464","False",,,,"81539072","81539072",,
"chrome","26","581","667049984","34652160","55566336","40824","C:\Users\senthilnathanp\Downloads\GoogleChromePortable\App\Chrome-bin\chrome.exe","Google Inc.","44.703125","68.0.3440.106","68.0.3440.106","Google Chrome","Google Chrome","Process","8",,"False",,"4712","Microsoft.Win32.SafeHandles.SafeProcessHandle","581","22316",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","40824","40824","55566336","55566336","687144","687144","445521920","445521920","114970624","114970624","887922688","887922688","True","Normal","55566336","55566336","00:00:11.9062500","chrome","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:11:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:44.7031250","00:00:32.7968750","667049984","667049984","False",,,,"34652160","34652160",,
"CmRcService","0","251","125620224","10620928","3375104","15552",,,,,,,,"Process","8",,,,,,"251","7780",".","0","",,,,,"15552","15552","3375104","3375104","172960","172960","5246976","5246976","12201984","12201984","126386176","126386176",,,"3375104","3375104",,"CmRcService",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"125620224","125620224","False",,,,"10620928","10620928",,
"concentr","26","427","228990976","18997248","9818112","26256","C:\Program Files (x86)\Citrix\ICA Client\concentr.exe","Citrix Systems, Inc.","0.578125","14.9.1000.17","14.9.1000","Citrix Connection Center","Citrix Receiver","Process","8",,"False",,"4660","Microsoft.Win32.SafeHandles.SafeProcessHandle","427","10684",".","0","","System.Diagnostics.ProcessModule (concentr.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26256","26256","9818112","9818112","309728","309728","10567680","10567680","22626304","22626304","241393664","241393664","True","Normal","9818112","9818112","00:00:00.4062500","concentr","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:10:58 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5781250","00:00:00.1718750","228990976","228990976","False",,,,"18997248","18997248",,
"conhost","26","150","2199156924416","7462912","6508544","17032","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","0.125","10.0.16299.15 (WinBuild.160101.0800)","10.0.16299.15","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3480","Microsoft.Win32.SafeHandles.SafeProcessHandle","150","2872",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17032","17032","6508544","6508544","184784","184784","6594560","6594560","13455360","13455360","142934016","2199166189568","True","Normal","6508544","6508544","00:00:00.1093750","conhost","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 12:05:01 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0156250","133668864","2199156924416","False",,,,"7462912","7462912",,
"conhost","26","150","2199156932608","7536640","6483968","17032","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation","0.1875","10.0.16299.15 (WinBuild.160101.0800)","10.0.16299.15","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3600","Microsoft.Win32.SafeHandles.SafeProcessHandle","150","17884",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17032","17032","6483968","6483968","185136","185136","6574080","6574080","13574144","13574144","135249920","2199158505472","True","Normal","6483968","6483968","00:00:00.1406250","conhost","15","True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 12:04:59 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00.0468750","133677056","2199156932608","False",,,,"7536640","7536640",,
"csrss","0","849","2199119839232","5369856","2154496","25216",,,,,,,,"Process","13",,,,,,"849","564",".","0","",,,,,"25216","25216","2154496","2154496","273128","273128","2867200","2867200","6389760","6389760","107540480","2199130796032",,,"2154496","2154496",,"csrss",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"96583680","2199119839232","False",,,,"5369856","5369856",,
"csrss","10","392","2199113576448","4726784","1736704","7672",,,,,,,,"Process","13",,,,,,"392","2920",".","0","",,,,,"7672","7672","1736704","1736704","143456","143456","6057984","6057984","17547264","17547264","134930432","2199158185984",,,"1736704","1736704",,"csrss",,"True","10","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"90320896","2199113576448","False",,,,"4726784","4726784",,
"csrss","4","413","2199111606272","5943296","1769472","7672",,,,,,,,"Process","13",,,,,,"413","9212",".","0","",,,,,"7672","7672","1769472","1769472","143704","143704","6590464","6590464","20627456","20627456","149737472","2199172993024",,,"1769472","1769472",,"csrss",,"True","4","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"88350720","2199111606272","False",,,,"5943296","5943296",,
"csrss","3","412","2199107186688","5550080","1732608","7400",,,,,,,,"Process","13",,,,,,"412","9268",".","0","",,,,,"7400","7400","1732608","1732608","128928","128928","8261632","8261632","20574208","20574208","147046400","2199170301952",,,"1732608","1732608",,"csrss",,"True","3","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"83931136","2199107186688","False",,,,"5550080","5550080",,
"csrss","6","412","2199106138112","5558272","1744896","7264",,,,,,,,"Process","13",,,,,,"412","9708",".","0","",,,,,"7264","7264","1744896","1744896","137120","137120","6651904","6651904","20537344","20537344","150065152","2199173320704",,,"1744896","1744896",,"csrss",,"True","6","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"82882560","2199106138112","False",,,,"5558272","5558272",,
"csrss","20","411","2199112302592","5660672","1765376","7808",,,,,,,,"Process","13",,,,,,"411","10968",".","0","",,,,,"7808","7808","1765376","1765376","140968","140968","7114752","7114752","20672512","20672512","157532160","2199180787712",,,"1765376","1765376",,"csrss",,"True","20","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"89047040","2199112302592","False",,,,"5660672","5660672",,
"csrss","14","414","2199111516160","5677056","1814528","7808",,,,,,,,"Process","13",,,,,,"414","13852",".","0","",,,,,"7808","7808","1814528","1814528","146696","146696","6029312","6029312","20672512","20672512","155639808","2199178895360",,,"1814528","1814528",,"csrss",,"True","14","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"88260608","2199111516160","False",,,,"5677056","5677056",,
"csrss","26","759","2199152287744","5701632","2519040","21912",,,,,,,,"Process","13",,,,,,"759","16684",".","0","",,,,,"21912","21912","2519040","2519040","252368","252368","6033408","6033408","20676608","20676608","137220096","2199160475648",,,"2519040","2519040",,"csrss",,"True","26","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"129032192","2199152287744","False",,,,"5701632","5701632",,
"ctfmon","26","544","2199220080640","26402816","6623232","25792",,,"11.25",,,,,"Process","13",,,,,,"544","18340",".","0","",,,,,"25792","25792","6623232","6623232","304696","304696","6627328","6627328","30248960","30248960","198856704","2199222112256",,,"6623232","6623232","00:00:07.6562500","ctfmon",,"True","26","System.Diagnostics.ProcessStartInfo","9/11/2018 11:10:40 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:11.2500000","00:00:03.5937500","196825088","2199220080640","False",,,,"26402816","26402816",,
"CxUtilSvc","0","186","102330368","7467008","2199552","10456",,,,,,,,"Process","8",,,,,,"186","3916",".","0","",,,,,"10456","10456","2199552","2199552","133328","133328","2678784","2678784","8785920","8785920","110952448","110952448",,,"2199552","2199552",,"CxUtilSvc",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"102330368","102330368","False",,,,"7467008","7467008",,
"dasHost","0","441","2199131815936","13524992","8728576","20640",,,,,,,,"Process","8",,,,,,"441","4644",".","0","",,,,,"20640","20640","8728576","8728576","147424","147424","10100736","10100736","20029440","20029440","123240448","2199146496000",,,"8728576","8728576",,"dasHost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"108560384","2199131815936","False",,,,"13524992","13524992",,
"dllhost","0","183","2199186653184","9613312","3112960","15904",,,,,,,,"Process","8",,,,,,"183","7640",".","0","",,,,,"15904","15904","3112960","3112960","106840","106840","3948544","3948544","11096064","11096064","170508288","2199193763840",,,"3112960","3112960",,"dllhost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"163397632","2199186653184","False",,,,"9613312","9613312",,
